Altitude (km),Total (kg/m3),Neutral Temp. (K),Pressure (Pa),C (kg/m3),N2 (kg/m3),CH3 (kg/m3),C2H4 (kg/m3),He (kg/m3),H (kg/m3),CH4 (kg/m3),C2H6 (kg/m3),Ar (kg/m3),C2H2 (kg/m3),C3H4 (kg/m3),H2 (kg/m3)
105.5,0.001039,156.45498228076602,571.1,0.0,1.2085452625973349e-6,0.0,0.0,0.0002793586227747495,0.0,2.65077800636639e-5,0.0,4.293384629306814e-7,0.0,0.0,0.0007314957134360585
106.5,0.0009972,156.94366410742361,547.5,0.0,1.1566501284147304e-6,0.0,0.0,0.00026810856540217953,0.0,2.540247636221958e-5,0.0,4.1032823284683394e-7,0.0,0.0,0.0007021219798743393
107.5,0.0009541,157.43179971675173,524.9,0.0,1.103538123857801e-6,0.0,0.0,0.0002565099320164712,0.0,2.4267462327095976e-5,0.0,3.9093983234223837e-7,0.0,0.0,0.000671828127700233
108.5,0.0009128,157.91813664916845,503.2,0.0,1.0527807977389198e-6,0.0,0.0,0.0002453962621828881,0.0,2.3181470355419805e-5,0.0,3.724369220157809e-7,0.0,0.0,0.0006427970497419374
109.5,0.0008769,158.3465868870234,482.4,0.0,1.0083609717957023e-6,0.0,0.0,0.00023573780136565853,0.0,2.223482076727491e-5,0.0,3.5622284710279793e-7,0.0,0.0,0.000617562794048168
110.5,0.0008429,158.77415441031948,462.5,0.0,9.663807725307001e-7,0.0,0.0,0.00022659068354579544,0.0,2.1339252389237043e-5,0.0,3.409151065409868e-7,0.0,0.0,0.000593662768185896
111.5,0.0008108,159.2044899648619,443.3,0.0,9.26795300145707e-7,0.0,0.0,0.00021795480637292513,0.0,2.0494249902977385e-5,0.0,3.264901450649067e-7,0.0,0.0,0.0005710976582788867
112.5,0.0007809,159.6371442325064,424.8,0.0,8.899309445097521e-7,0.0,0.0,0.00020991077852511027,0.0,1.970720908757019e-5,0.0,3.1305998123552927e-7,0.0,0.0,0.0005500790214615741
113.5,0.0007521,160.06910166404225,407.1,0.0,8.545340021126041e-7,0.0,0.0,0.00020216291705594456,0.0,1.8950373580695414e-5,0.0,3.0018333469881304e-7,0.0,0.0,0.0005298319920265486
114.5,0.0007217,160.50203470887217,390.1,0.0,8.17523695204303e-7,0.0,0.0,0.0001939854402645394,0.0,1.8155565814276862e-5,0.0,2.86775585539135e-7,0.0,0.0,0.0005084546946404403
115.5,0.0006915,160.92695401772147,373.7,0.0,7.809339267695824e-7,0.0,0.0,0.0001858619700307791,0.0,1.7367979994867572e-5,0.0,2.7354903491005845e-7,0.0,0.0,0.0004872155670126737
116.5,0.0006626,161.23633532032235,358.0,0.0,7.459817553490184e-7,0.0,0.0,0.00017808639823298933,0.0,1.6614657803075337e-5,0.0,2.6092467102449025e-7,0.0,0.0,0.0004668920375375618
117.5,0.0006352,161.5469692526279,342.9,0.0,7.129128528240759e-7,0.0,0.0,0.00017071459733178934,0.0,1.590121677874307e-5,0.0,2.4899283996573904e-7,0.0,0.0,0.0004476222801966779
118.5,0.000609,161.856218438189,328.5,0.0,6.813941643675774e-7,0.0,0.0,0.00016366595766042515,0.0,1.522019549687424e-5,0.0,2.3763758879568908e-7,0.0,0.0,0.0004291948150895373
119.5,0.0005836,162.16557583647534,314.7,0.0,6.509551269314956e-7,0.0,0.0,0.00015683290778201512,0.0,1.4561328505096272e-5,0.0,2.2669078715183288e-7,0.0,0.0,0.00041132811779880525
120.5,0.0005584,162.4744485080545,301.5,0.0,6.209232153626937e-7,0.0,0.0,0.00015005420114752734,0.0,1.3909611119542383e-5,0.0,2.1591747906958514e-7,0.0,0.0,0.000393599347038498
121.5,0.0005343,162.7846606286094,288.8,0.0,5.922819758201916e-7,0.0,0.0,0.0001435716324875633,0.0,1.3287261107278829e-5,0.0,2.0565665118148033e-7,0.0,0.0,0.00037664316777815624
122.5,0.0005105,163.055159602402,276.7,0.0,5.640972057878097e-7,0.0,0.0,0.00013717132565422945,0.0,1.2673984428801789e-5,0.0,1.955761376979925e-7,0.0,0.0,0.0003598950165734829
123.5,0.0004861,163.2362984798884,265.2,0.0,5.353165755689325e-7,0.0,0.0,0.00013061260408258726,0.0,1.2046921333331377e-5,0.0,1.8530172811171252e-7,0.0,0.0,0.0003427198562804007
124.5,0.0004628,163.41706727215504,254.2,0.0,5.079351328247234e-7,0.0,0.0,0.00012434967856433108,0.0,1.1449284738448917e-5,0.0,1.7554372483150454e-7,0.0,0.0,0.0003263175578395637
125.5,0.000441,163.59882144875368,243.6,0.0,4.823644199425873e-7,0.0,0.0,0.00011848999089751253,0.0,1.089065324211943e-5,0.0,1.6643966360174438e-7,0.0,0.0,0.0003109705517768237
126.5,0.0004208,163.77586243743738,233.7,0.0,4.587461904395544e-7,0.0,0.0,0.00011306045736455483,0.0,1.0373882442731631e-5,0.0,1.5804347731532365e-7,0.0,0.0,0.00029674887052495865
