Altitude (km),Total Energy Deposition (keV),Ionizing Energy Deposition (keV),Electron Production (counts)
568km-569km,0.00107362,0.00107362,0
569km-570km,0.0009617,0.0009617,0
570km-571km,0.000978417,0.000978417,0
571km-572km,0.00110168,0.00110168,0
572km-573km,0.00107971,0.00107971,0
573km-574km,0.00109953,0.00109953,0
574km-575km,0.000972275,0.000972275,0
575km-576km,0.000946886,0.000946886,0
576km-577km,0.00101986,0.00101986,0
577km-578km,0.00100229,0.00100229,0
578km-579km,0.0012579,0.0012579,0
579km-580km,0.00101978,0.00101978,0
580km-581km,0.000954989,0.000954989,0
581km-582km,0.000854394,0.000854394,0
582km-583km,0.000815306,0.000815306,0
583km-584km,0.000900173,0.000900173,0
584km-585km,0.000908766,0.000908766,0
585km-586km,0.000922916,0.000922916,0
586km-587km,0.000859437,0.000859437,0
587km-588km,0.000818162,0.000818162,0
588km-589km,0.00080775,0.00080775,0
589km-590km,0.000944994,0.000944994,0
590km-591km,0.000849851,0.000849851,0
591km-592km,0.000776774,0.000776774,0
592km-593km,0.000863521,0.000863521,0
593km-594km,0.000868998,0.000868998,0
594km-595km,0.000765464,0.000765464,0
595km-596km,0.000811942,0.000811942,0
596km-597km,0.000812024,0.000812024,0
597km-598km,0.000756898,0.000756898,0
598km-599km,0.000756179,0.000756179,0
599km-600km,0.000823954,0.000823954,0
600km-601km,0.000904587,0.000904587,0
601km-602km,0.000806514,0.000806514,0
602km-603km,0.000796935,0.000796935,0
603km-604km,0.000797438,0.000797438,0
604km-605km,0.000764651,0.000764651,0
605km-606km,0.000832114,0.000832114,0
606km-607km,0.00079967,0.00079967,0
607km-608km,0.000761385,0.000761385,0
608km-609km,0.000878022,0.000878022,0
609km-610km,0.000790449,0.000790449,0
610km-611km,0.000812347,0.000812347,0
611km-612km,0.000823034,0.000823034,0
612km-613km,0.000932027,0.000932027,0
613km-614km,0.000881627,0.000881627,0
614km-615km,0.000720497,0.000720497,0
615km-616km,0.000731377,0.000731377,0
616km-617km,0.000698409,0.000698409,0
617km-618km,0.000687203,0.000687203,0
618km-619km,0.000725821,0.000725821,0
619km-620km,0.00077578,0.00077578,0
620km-621km,0.000687328,0.000687328,0
621km-622km,0.000718456,0.000718456,0
622km-623km,0.754791,0.754791,0
623km-624km,0.000761597,0.000761597,0
624km-625km,0.000766457,0.000766457,0
625km-626km,0.000651425,0.000651425,0
626km-627km,0.000617266,0.000617266,0
627km-628km,0.000627941,0.000627941,0
628km-629km,0.000657896,0.000657896,0
629km-630km,0.000680127,0.000680127,0
630km-631km,0.000640222,0.000640222,0
631km-632km,0.000605511,0.000605511,0
632km-633km,0.000573794,0.000573794,0
633km-634km,0.000610736,0.000610736,0
634km-635km,0.000630252,0.000630252,0
635km-636km,0.00058816,0.00058816,0
636km-637km,0.000574059,0.000574059,0
637km-638km,0.000626613,0.000626613,0
638km-639km,0.000687726,0.000687726,0
639km-640km,0.000636198,0.000636198,0
640km-641km,0.000530344,0.000530344,0
641km-642km,0.000529508,0.000529508,0
642km-643km,0.000569977,0.000569977,0
643km-644km,0.000683526,0.000683526,0
644km-645km,0.000543049,0.000543049,0
645km-646km,0.000589369,0.000589369,0
646km-647km,0.000586995,0.000586995,0
647km-648km,0.00056424,0.00056424,0
648km-649km,0.000583251,0.000583251,0
649km-650km,0.000560777,0.000560777,0
650km-651km,0.000519773,0.000519773,0
651km-652km,0.000468129,0.000468129,0
652km-653km,0.000474,0.000474,0
653km-654km,0.000617603,0.000617603,0
654km-655km,0.000492465,0.000492465,0
655km-656km,0.000441327,0.000441327,0
656km-657km,0.000519321,0.000519321,0
657km-658km,0.000538679,0.000538679,0
658km-659km,0.000530436,0.000530436,0
659km-660km,0.000530372,0.000530372,0
660km-661km,0.000464037,0.000464037,0
661km-662km,0.000556808,0.000556808,0
662km-663km,0.000505474,0.000505474,0
663km-664km,0.000463013,0.000463013,0
664km-665km,0.00045438,0.00045438,0
665km-666km,0.000478224,0.000478224,0
666km-667km,0.000459087,0.000459087,0
667km-668km,0.000455105,0.000455105,0
668km-669km,0.00045084,0.00045084,0
669km-670km,0.000485621,0.000485621,0
670km-671km,0.000454795,0.000454795,0
671km-672km,0.000535469,0.000535469,0
672km-673km,0.000428525,0.000428525,0
673km-674km,0.000468568,0.000468568,0
674km-675km,0.000454536,0.000454536,0
675km-676km,0.000432187,0.000432187,0
676km-677km,0.00051133,0.00051133,0
677km-678km,0.000432988,0.000432988,0
678km-679km,0.000460253,0.000460253,0
679km-680km,0.000499389,0.000499389,0
680km-681km,0.000476056,0.000476056,0
681km-682km,0.000397089,0.000397089,0
682km-683km,0.000489726,0.000489726,0
683km-684km,0.000494438,0.000494438,0
684km-685km,0.000486974,0.000486974,0
685km-686km,0.000420878,0.000420878,0
686km-687km,0.000427426,0.000427426,0
687km-688km,0.000433023,0.000433023,0
688km-689km,0.000454925,0.000454925,0
689km-690km,0.00045213,0.00045213,0
690km-691km,0.000477665,0.000477665,0
691km-692km,0.000463075,0.000463075,0
692km-693km,0.000439252,0.000439252,0
693km-694km,0.000414886,0.000414886,0
694km-695km,0.000455818,0.000455818,0
695km-696km,0.000462822,0.000462822,0
696km-697km,0.000602621,0.000602621,0
697km-698km,0.000499549,0.000499549,0
698km-699km,0.00049608,0.00049608,0
699km-700km,0.000507262,0.000507262,0
700km-701km,0.000545712,0.000545712,0
701km-702km,0.00048388,0.00048388,0
702km-703km,0.000434968,0.000434968,0
703km-704km,0.000491948,0.000491948,0
704km-705km,0.000423981,0.000423981,0
705km-706km,0.000421224,0.000421224,0
706km-707km,0.000441242,0.000441242,0
707km-708km,0.000445236,0.000445236,0
708km-709km,0.000511461,0.000511461,0
709km-710km,0.000501733,0.000501733,0
710km-711km,0.000430773,0.000430773,0
711km-712km,0.000452847,0.000452847,0
712km-713km,0.000502876,0.000502876,0
713km-714km,0.000439533,0.000439533,0
714km-715km,0.000411456,0.000411456,0
715km-716km,0.000406465,0.000406465,0
716km-717km,0.000415087,0.000415087,0
717km-718km,0.000419262,0.000419262,0
718km-719km,0.000365329,0.000365329,0
719km-720km,0.000398995,0.000398995,0
720km-721km,0.000356183,0.000356183,0
721km-722km,0.00038836,0.00038836,0
722km-723km,0.000365546,0.000365546,0
723km-724km,0.000358378,0.000358378,0
724km-725km,0.000383577,0.000383577,0
725km-726km,0.000464795,0.000464795,0
726km-727km,0.000367271,0.000367271,0
727km-728km,0.000374748,0.000374748,0
728km-729km,0.00038124,0.00038124,0
729km-730km,0.000426283,0.000426283,0
